comment_id,stakeholder_name,draft_id,draft_section,comment
C0001,Naksh Chaudhary,Draft_1,Section 10,"The definition provided in Section 10 is ambiguous and creates confusion. Furthermore, subject to the provisions, Some clauses are overly technical and difficult to implement. (MCA Guidelines 2021)"
C0002,Tanish Kanda,Draft_2,Section 10,  The  inclusion of MSMEs in Section 10 is highly appreciated. Although The penalties in Section 10 are too harsh and may discourage compliance. Although The inclusion of MSMEs in Section 10 is highly appreciated. (Rule 1 of Companies Act 2021) Although The penalties in Section 10 are too harsh and may discourage compliance.
C0003,Urvi Sarma,Draft_1,Section 1,"The draft document covers key areas adequately. Furthermore, Certain sections require cross-referencing for completeness. Although The timelines mentioned in Section 1 seem reasonable, but further clarity is needed. Despite The draft document covers key areas adequately. However, The draft document covers key areas adequately. (Rule 2 of Companies Act 2020)"
C0004,Bhanumati Acharya,Draft_2,Section 6,"The draft repeats older provisions without adding clarity In addition, Some clauses are overly technical and difficult to implement. In addition, The reporting requirements in Section 6 are impractical for small businesses."
C0005,Kalpit Sachar,Draft_2,Section 5,"The amendment in Section 5 is a welcome step and will ease compliance. Furthermore, The amendment in Section 5 is a welcome step and will ease compliance. (MCA Guidelines 2020)"
C0006,Mekhala Prasad,Draft_6,Section 7,"The proposed timelines seem practical and considerate. Despite subject to the provisions, 
The draft shows a progressive approach towards transparency. Despite The penalties in Section 7 are too harsh and may discourage compliance. (Rule 1 of Companies Act 2023) However, Some clauses are overly technical and difficult to implement. (Rule 3 of Companies Act 2020)"
C0007,Sarthak Oommen,Draft_1,Section 7,"The definition provided in Section 7 is ambiguous and creates confusion. However, The definition provided in Section 7 is ambiguous and creates confusion."
C0008,Unnati Sani,Draft_5,Section 1,"  The  reporting requirements in Section 1 are impractical for small businesses. Consequently, The reporting requirements in Section 1 are impractical for small businesses. However, The proposed timelines seem practical and considerate. In addition, The draft repeats older provisions without adding clarity."
C0009,Maya D’Alia,Draft_1,Section 6,"The penalties in Section 6 are too harsh and may discourage compliance. Although The definition provided in Section 6 is ambiguous and creates confusion. (Rule 9 of Companies Act 2025) In addition, The reporting requirements in Section 6 are impractical for small businesses."
C0010,Gagan Cheema,Draft_1,Section 8,"  The  reporting requirements in Section 8 are impractical for small businesses. Although subject to the provisions, The reporting requirements in Section 8 are impractical for small businesses. However, The penalties in Section 8 are too harsh and may discourage compliance. Despite notwithstanding the foregoing, Some clauses are overly technical and difficult to implement. In addition, The amendment in Section 8 is a welcome step and will ease compliance."
C0011,Farhan Andra,Draft_4,Section 8,1. This provision aligns with global best practices and benefits stakeholders. 2. The draft shows a progressive approach towards transparency. ...
C0012,Wakeeta Konda,Draft_1,Section 4,"The proposed timelines seem practical and considerate. Furthermore, The reporting requirements in Section 4 are impractical for small businesses."
C0013,Hredhaan Mani,Draft_3,Section 1,"1. The inclusion of MSMEs in Section 1 is highly appreciated. (Section 10, Regulation 3) 2. The draft repeats older provisions without adding clarity. (Rule 10 of Companies Act 2020) 3. This provision aligns with global best practices and benefits stakeholders."
C0014,Triya Kunda,Draft_1,Section 3,"  The  draft shows a progressive approach towards transparency. In addition, The penalties in Se
ction 3 are too harsh and may discourage compliance. Furthermore, shall be deemed, The draft shows a progressive approach towards transparency."
C0015,Yahvi Kapadia,Draft_4,Section 5,"  The  penalties in Section 5 are too harsh and may discourage compliance. Although The definition provided in Section 5 is ambiguous and creates confusion. Furthermore, The amendment in Section 5 is a welcome step and will ease compliance."
C0016,Charita Brahmbhatt,Draft_1,Section 7,"  1.  The timelines mentioned in Section 7 seem reasonable, but further clarity is needed. 2. The draft document covers key areas adequately. (Section 8, Regulation 9) 3. The proposed timelines seem practical and considerate. (Rule 3 of Companies Act 2025)"
C0017,Anvi Pandya,Draft_1,Section 5,1. The amendment in Section 5 is a welcome step and will ease compliance. (Rule 10 of Companies Act 2019) 2. The inclusion of MSMEs in Section 5 is highly appreciated.
C0018,Amara Mistry,Draft_6,Section 6,The amendment in Section 6 is a welcome step and will ease compliance. Although The draft shows a progressive approach towards transparency.
C0019,Ekavir Ranganathan,Draft_2,Section 7,"Certain sections require cross-referencing for complete
ness. Whereas The timelines mentioned in Section 7 seem reasonable, but further clarity is needed."
C0020,Vasatika Jha,Draft_6,Section 7,"  No  significant issues found, but
 detailed implementation will matter. However, The draft document covers key areas adequately."
C0021,Neelima Om,Draft_1,Section 2,"Certain sections require cross-referencing for completeness In addition, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. Furthermore, The draft document covers key areas adequately."
C0022,Ikshita Jaggi,Draft_1,Section 9,"The draft repeats older provisions without adding clarity. In addition, as mandated under, The draft repeats older provisions without adding clarity. Consequently, The reporting requirements in Section 9 are impractical for small businesses."
C0023,Max Kashyap,Draft_5,Section 8,"Certain sections require cross-referencing for completeness. In addition, No significant issues found, but detailed implementation will matter. Despite The timelines mentioned in Section 8 seem reasonable, but further clarity is needed. In addition, No significant issues found, but detailed implementation will matter. Although Overall the draft is balanced, though some minor improvements can be made."
C0024,Shaurya Zacharia,Draft_6,Section 6,"The proposed timelines seem practical and considerate. Furthermore, The proposed timelines seem practical and considera
te. Although This provision aligns with global best practices and benefits stakeholders. However, This provision aligns with global best practices and benefits stakeholders. Whereas The proposed timelines seem practical and considerate."
C0025,Darpan Gola,Draft_3,Section 4,"The draft document covers key areas adequately. Consequently, as mandated under, The timelines mentioned in Section 4 seem reasonable, but further clarity is needed. However, No significant issues found, but detailed implementation will matter. (Section 9, Regulation 7)"
C0026,Triveni Sura,Draft_2,Section 9,"The draft repeats older provisions without adding clarity. Furthermore, The proposed timelines seem practical and considerate."
C0027,Udyati Dutta,Draft_3,Section 1,"The definition provided in Section 1 is ambiguous and creates confusion. Despite in accordance with the regulations, Some clauses are overly technical and difficult to implement. Whereas shall be deemed, The penalties in Section 1 are too harsh and may discourage compliance. Furthermore, The definition provided in Section 1 is ambiguous and creates confusion. Despite The reporting requirements in Section 1 are impractical for small businesses. Furthermore, The penalties in Section 1 are too harsh and may discourage compliance. However, notwithstanding the foregoing, The penalties in Section 1 are too harsh and may discourage compliance. However, The penalties in Section 1 are too harsh and may discourage compliance. Consequently, for the avoidance of doubt, The penalties in Section 1 are too harsh and may discourage compliance. Despite The definition provided in Section 1 is ambiguous and creates confusion. Despite The definition provided in Section 1 is ambiguous and creates confusion. (Section 8, Regulation 4) Despite in accordance with the regulations, The penalties in Section 1 are too harsh and may discourage compliance. Although The reporting requirements in Section 1 are impractical for small businesses."
C0028,Vamakshi Kurian,Draft_5,Section 3,1 Thsi provision aligns with global best practices and benefits stakeholders. 2. The draft shows a progressive approach towards transparency.
C0029,Neha Yohannan,Draft_4,Section 6,"The definition provided in Section 6 is ambiguous and creates confusion. Despite subject to the provisions, The reporting requirements in Section 6 are impractical for small businesses."
